URL,Type of property,Terrace,Open fire,Price,Garden Area,Surface of the land,Terrace Area,Number of rooms,Subtype of property,Fully equipped kitchen,State of the building,Locality,Living Area,Number of facades,Surface area of the plot of land,Swimming pool,Garden,Furnished
https://www.immoweb.be/en/classified/house/for-sale/wetteren/9230/20316344,House,,,740000,1292,,40,4,House,Semi equipped,To be done up,9230 WETTEREN,,4,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/noorderwijk/2200/20316145,Diesterpark - BEN-woningen,,,From385000To415000,,,,,Diesterpark - BEN-woningen,,,2200 NOORDERWIJK,,,,,,
https://www.immoweb.be/en/classified/villa/for-sale/harelbeke/8530/20316535,Villa,Yes,,379000,,,,3,Villa,Installed,Good,8530 HARELBEKE,,4,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/zulte-machelen/9870/20311319,Olympia,,,399000,,,,,Olympia,,,9870 Zulte Machelen,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gent/9000/20314260,Rhodon,,,From535000To585000,,,,,Rhodon,,,9000 Gent,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/deurne/2100/20316323,House,,,309900,110,,9,3,House,Not installed,To renovate,2100 DEURNE,,2,,,,
https://www.immoweb.be/en/classified/country-cottage/for-sale/sint-denijs/8554/20317156,Country house,Yes,,498000,,,,2,Country house,Installed,Good,8554 SINT-DENIJS,,3,,,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/wemmel/1780/20316101,Apartment block,,,669900,100,,6,6,Apartment block,Semi equipped,Just renovated,1780 WEMMEL,,2,,,,
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/20314682,House,Yes,,380000,360,,,3,House,Installed,Good,9600 RONSE,,3,,,,
https://www.immoweb.be/en/classified/house/for-sale/kortrijk/8500/20315988,House,,,164500,40,,20,3,House,Installed,Good,8500 Kortrijk,,2,,,,
https://www.immoweb.be/en/classified/house/for-sale/oosterzele/9860/20316952,House,Yes,,199000,,,,3,House,,To be done up,9860 Oosterzele,,3,,,,
https://www.immoweb.be/en/classified/house/for-sale/hoboken/2660/20315649,House,,,359000,39,,22,3,House,Installed,As new,2660 HOBOKEN,,3,,,,
https://www.immoweb.be/en/classified/house/for-sale/liege/4020/20315534,House,,,199000,65,,19,3,House,Installed,As new,4020 Liège,,2,,,,No
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/20315481,House,,,229000,215,,15,4,House,Hyper equipped,As new,9600 Ronse,,3,,,,No
https://www.immoweb.be/en/classified/house/for-sale/flemalle/4400/20316175,House,,,265000,50,,10,3,House,Semi equipped,As new,4400 Flémalle,,2,,,,Yes
https://www.immoweb.be/en/classified/house/for-sale/waterloo/1410/20316348,House,Yes,,345000,488,,,3,House,Not installed,To renovate,1410 Waterloo,,3,,,,No
https://www.immoweb.be/en/classified/mansion/for-sale/houtaing/7812/20316523,Mansion,,,499000,515,,40,5,Mansion,Installed,Good,7812 HOUTAING,,4,,,,
https://www.immoweb.be/en/classified/mansion/for-sale/ronse/9600/20317278,Mansion,Yes,,695000,,,,5,Mansion,Installed,As new,9600 RONSE,,4,,,,
https://www.immoweb.be/en/classified/house/for-sale/sprimont/4140/20312392,House,,,215000,1127,,30,2,House,Semi equipped,Good,4140 Sprimont,,3,,,,No
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/deinze/9800/20309799,BegijnHof,,,From337000To383011,,,,,BegijnHof,,,9800 Deinze,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/nazareth/9810/20309802,Eikenleen te Eke,,,From347551To379551,,,,,Eikenleen te Eke,,,9810 Nazareth,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/de-pinte/9840/20309773,Heirweg 8 - De Pinte,,,765000,,,,,Heirweg 8 - De Pinte,,,9840 De Pinte,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20310264,House,Yes,,299000,,,,3,House,,To renovate,9700 Oudenaarde,,4,,,,No
https://www.immoweb.be/en/classified/house/for-sale/ledegem/8880/20315989,House,,,199000,,,16,4,House,Semi equipped,To renovate,8880 Ledegem,,2,,,,
https://www.immoweb.be/en/classified/house/for-sale/harelbeke/8530/20317245,House,,,229000,,,14,3,House,Installed,Just renovated,8530 HARELBEKE,,2,,,,
https://www.immoweb.be/en/classified/house/for-sale/oosterzele/9860/20315018,House,,,455000,77,,16,3,House,Hyper equipped,Just renovated,9860 Oosterzele,,3,,,,No
https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20315674,House,,,595000,30,,15,4,House,Installed,Good,1180 Uccle,,2,,,,No
https://www.immoweb.be/en/classified/apartment-block/for-sale/wavre/1300/20313601,Apartment block,,,180000,6,,6,,Apartment block,Semi equipped,Just renovated,1300 WAVRE,,2,,,,Yes
