URL,Number of facades,Number of rooms,Terrace,Type of property,Swimming pool,Garden Area,Surface of the land,Locality,Living Area,Terrace Area,Fully equipped kitchen,State of the building,Furnished,Surface area of the plot of land,Garden,Open fire,Subtype of property,Price
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/overijse/3090/10228061,,,,,,,,3090 Overijse,,,,,,,,,,From466600To611600
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gentbrugge/9050/20235884,,,,,,,,9050 Gentbrugge,,,,,,,,,,From467000To547500
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gentbrugge/9050/11428241,,,,Rode Kruisstraat - Gentbr,,,,9050 Gentbrugge,,,,,,,,,Rode Kruisstraat - Gentbr,From467000To547500
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/berlare/9290/11393379,,,,Moleneinde,,,,9290 Berlare,,,,,,,,,Moleneinde,From469000To475000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/heist-op-den-berg/2220/20229277,,,,BEN-woningen,,,,2220 HEIST-OP-DEN-BERG,,,,,,,,,BEN-woningen,From472000To478000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/beervelde/9080/11137426,,,,Wonen in het Biezenhof,,,,9080 Beervelde,,,,,,,,,Wonen in het Biezenhof,From472000To509000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/oostduinkerke/8670/20232704,,,,,,,,8670 Oostduinkerke,,,,,,,,,,473000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/aalter/9880/20242880,,,,,,,,9880 Aalter,,,,,,,,,,From474000To479000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/asse/1730/11265008,,,,Project 'Edingsesteenweg',,,,1730 Asse,,,,,,,,,Project 'Edingsesteenweg',From474985To479140
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gentbrugge/9050/20037104,,,,,,,,9050 Gentbrugge,,,,,,,,,,478500
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/sint-idesbald/8670/20221118,,,,,,,,8670 Sint-Idesbald,,,,,,,,,,From479000To515000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gent/9000/11451500,,,,,,,,9000 Gent,,,,,,,,,,From480000To485000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/opprebais/1315/20138518,,,,Maisons � Incourt,,,,1315 OPPREBAIS,,,,,,,,,Maisons � Incourt,From482000To548000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/brugge/8000/9397247,,,,,,,,8000 Brugge,,,,,,,,,,485000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/vorselaar/2290/11097309,,,,,,,,2290 Vorselaar,,,,,,,,,,From494000To499000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/vorselaar/2290/10340533,,,,,,,,2290 Vorselaar,,,,,,,,,,From494000To499000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/lille/2275/10822940,,,,,,,,2275 Lille,,,,,,,,,,From495000To502000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/crisnee/4367/20029390,,,,Lotissement CRISNEE DEMAIN,,,,4367 Crisn�e,,,,,,,,,Lotissement CRISNEE DEMAIN,From495000To525000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/desselgem/8792/20228368,,,,Driesheide,,,,8792 Desselgem,,,,,,,,,Driesheide,From495000To595000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/tongerlo/2260/20209532,,,,2 HOB ben woningen,,,,2260 TONGERLO,,,,,,,,,2 HOB ben woningen,From497400To499000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/minderhout/2322/20102359,,,,Residentie Hof Van Hoet,,,,,,,,,,,,,Residentie Hof Van Hoet,From499000To549000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/trooz/4870/20057258,,,,Maisons neuves � Beaufays,,,,4870 Trooz,,,,,,,,,Maisons neuves � Beaufays,499000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gent/9000/10310821,,,,WONINGEN II,,,,9000 Gent,,,,,,,,,WONINGEN II,From499000To709000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gent/9000/10199441,,,,WONINGEN II,,,,9000 Gent,,,,,,,,,WONINGEN II,From499000To619000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/haacht/3150/10103353,,,,,,,,3150 Haacht,,,,,,,,,,From504000To584000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/brecht/2960/11326166,,,,,,,,2960 Brecht,,,,,,,,,,From514500To531500
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gent/9000/11469680,,,,Dockside Gardens,,,,9000 Gent,,,,,,,,,Dockside Gardens,520000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/merelbeke/9820/11404146,,,,,,,,9820 Merelbeke,,,,,,,,,,520000
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/brasschaat/2930/10915727,,,,,,,,2930 Brasschaat,,,,,,,,,,521345
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/bachte-maria-leerne/9800/20198382,,,,Hof Van Leerne,,,,9800 Bachte-Maria-Leerne,,,,,,,,,Hof Van Leerne,From524987To609987
