URL,Number of rooms,Surface area of the plot of land,State of the building,Type of property,Garden Area,Fully equipped kitchen,Price,Garden,Surface of the land,Locality,Subtype of property,Living Area,Furnished,Number of facades,Terrace,Open fire,Terrace Area,Swimming pool
https://www.immoweb.be/en/classified/apartment/for-sale/bredene/8450/20275511,2,,Good,Apartment,,Installed,319000,,,8450 Bredene,Apartment,,,,,,7,
https://www.immoweb.be/en/classified/duplex/for-sale/knokke/8300/20275313,2,,Good,Duplex,,Installed,599000,,,8300 Knokke,Duplex,,Yes,2,,,4,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20294792,2,,,Apartment,,Semi equipped,197000,,,9000 GENT,Apartment,,,2,,,2,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/houthulst/8650/20264094,,,,Residentie 'Canvas',,,From286000To358000,,,8650 Houthulst,Residentie 'Canvas',,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/kalmthout/2920/20251269,,,,Prachtige BEN-appartementen,,,Noprice,,,2920 KALMTHOUT,Prachtige BEN-appartementen,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/wavre/1300/20270991,1,,Good,Apartment,,Installed,169000,,,1300 WAVRE,Apartment,,No,2,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20270324,2,,Good,Apartment,,,649000,,,8300 Knokke-Heist,Apartment,,No,2,,,3,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2050/20288992,1,,Good,Apartment,,Installed,149000,,,2050 ANTWERPEN,Apartment,,,4,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4020/20287189,2,,Good,Apartment,,Semi equipped,155000,,,4020 Liège,Apartment,,No,2,,,35,
https://www.immoweb.be/en/classified/apartment/for-sale/roeselare/8800/20285828,3,,To be done up,Apartment,,Installed,159000,,,8800 Roeselare,Apartment,,,,,,,
https://www.immoweb.be/en/classified/service-flat/for-sale/de-panne/8660/20287601,1,,As new,Service flat,,Installed,199000,,,8660 De Panne,Service flat,,No,,Yes,,,
