URL,Fully equipped kitchen,Garden Area,Surface of the land,Number of facades,Locality,Terrace,Swimming pool,Subtype of property,Living Area,Open fire,Type of property,Furnished,Price,State of the building,Garden,Terrace Area,Surface area of the plot of land,Number of rooms
https://www.immoweb.be/en/classified/apartment/for-sale/schriek/2223/20302795,Hyper equipped,,,,2223 Schriek,,,Apartment,,,Apartment,,200000,,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/schriek/2223/20302772,Hyper equipped,,,,2223 Schriek,,,Apartment,,,Apartment,,210000,,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/heist-aan-zee/8301/20302634,Installed,,,,8301 Heist-aan-Zee,,,Apartment,,,Apartment,No,388000,Good,,5,,1
https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/20122463,,,,2,2660 HOBOKEN,,,Apartment,,,Apartment,,149500,As new,,11,,1
https://www.immoweb.be/en/classified/flat-studio/for-sale/brussels/1020/20171426,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/penthouse/for-sale/wavre/1300/20093750,Semi equipped,,,3,1300 Wavre,,,Penthouse,,,Penthouse,No,173000,Good,,30,,1
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20193281,Hyper equipped,,,2,1070 Anderlecht,,,Apartment,,,Apartment,No,195000,To be done up,,20,,2
https://www.immoweb.be/en/classified/duplex/for-sale/molenbeek-saint-jean/1080/11340213,Semi equipped,,,,1080 Molenbeek-Saint-Jean,,,Duplex,,,Duplex,No,195000,To renovate,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/11418338,Installed,,,2,1090 Jette,,,Apartment,,,Apartment,No,199000,As new,,3,,1
https://www.immoweb.be/en/classified/apartment/for-sale/vilvoorde/1800/20139247,Hyper equipped,,,,1800 Vilvoorde,,,Apartment,,,Apartment,,199500,As new,,7,,1
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20062441,Not installed,,,2,1080 Molenbeek-Saint-Jean,,,Apartment,,,Apartment,No,212500,To be done up,,12,,2
https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/20001565,Installed,,,2,2830 WILLEBROEK,,,Apartment,,,Apartment,,224000,Good,,12,,1
https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/20221453,Semi equipped,,,3,1083 GANSHOREN,,,Apartment,,,Apartment,,225000,To be done up,,3,,2
https://www.immoweb.be/en/classified/apartment/for-sale/deerlijk/8540/11295983,,,,,8540 DEERLIJK,,,Apartment,,,Apartment,,229500,Good,,30,,2
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20192919,Installed,,,3,1070 Anderlecht,,,Apartment,,,Apartment,No,240000,To renovate,,25,,3
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2060/20274554,USA hyper equipped,,,2,2060 Antwerpen,,,Apartment,,,Apartment,,259000,As new,,10,,2
https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/11402793,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/11032758,,,,2,9700 Oudenaarde,,,Apartment,,,Apartment,No,275000,Good,,5,,1
https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/10939272,,,,2,9700 Oudenaarde,,,Apartment,,,Apartment,No,275000,Good,,5,,1
https://www.immoweb.be/en/classified/apartment/for-sale/lier/2500/20201069,Installed,,,2,2500 LIER,,,Apartment,,,Apartment,,289000,Just renovated,,11,,2
https://www.immoweb.be/en/classified/apartment/for-sale/lier/2500/20201050,Installed,,,2,2500 LIER,,,Apartment,,,Apartment,,289000,Just renovated,,11,,2
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre-sint-pieters-woluwe/1150/20281609,Installed,,,,1150 Woluwe-Saint-Pierre - Sint-Pieters-Woluwe,,,Apartment,,,Apartment,,290000,Good,,12,,2
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/20117934,Installed,,,2,1150 Woluwe-Saint-Pierre,,,Apartment,,,Apartment,No,295000,To renovate,,6,,2
https://www.immoweb.be/en/classified/apartment/for-sale/duffel/2570/20108995,Installed,,,,2570 DUFFEL,,,Apartment,,,Apartment,,298000,Good,,4,,2
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20207397,,,,2,9000 Gent,,,Apartment,,,Apartment,,320000,As new,,3,,2
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/11367670,Semi equipped,,,,1070 Anderlecht,,,Apartment,,,Apartment,No,330000,As new,,36,,2
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20138082,Hyper equipped,,,2,1180 Uccle,,,Apartment,,,Apartment,No,340000,As new,,3,,2
https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20244334,USA installed,,,2,1000 Brussel,,,Apartment,,,Apartment,,365000,As new,,2,,2
https://www.immoweb.be/en/classified/ground-floor/for-sale/lasne/1380/11129249,Installed,300,,3,1380 Lasne,,,Ground floor,,,Ground floor,,395000,As new,,50,,2
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20089381,Hyper equipped,,,2,1000 Bruxelles,,,Apartment,,,Apartment,No,410000,Good,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/11485215,Hyper equipped,100,,2,1050 Ixelles,,,Apartment,,,Apartment,Yes,410000,Good,,5,,2
https://www.immoweb.be/en/classified/apartment/for-sale/waterloo/1410/20163555,Hyper equipped,,,2,1410 Waterloo,,,Apartment,,,Apartment,,420000,Just renovated,,8,,3
