URL,Open fire,Subtype of property,Fully equipped kitchen,Surface of the land,Surface area of the plot of land,Furnished,Terrace Area,Price,Number of facades,Number of rooms,Garden,State of the building,Swimming pool,Type of property,Terrace,Locality,Garden Area,Living Area
https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/20293961,,House,Semi equipped,,,,,379000,2.0,2.0,,To be done up,,House,,1050 Ixelles,,
https://www.immoweb.be/en/classified/house/for-sale/anseroeul/7750/20242611,,House,Semi equipped,,,,50,148500,2.0,2.0,,To renovate,,House,,7750 ANSEROEUL,452,
https://www.immoweb.be/en/classified/house/for-sale/liege-angleur/4031/20118256,,House,Not installed,,,No,42,159000,4.0,2.0,,As new,,House,,4031 Liège Angleur,225,
https://www.immoweb.be/en/classified/house/for-sale/libin/6890/11487733,,House,Not installed,,,,,169000,2.0,3.0,,To renovate,,House,,6890 LIBIN,,
https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20122600,,House,Installed,,,No,20,175000,2.0,3.0,,Just renovated,,House,,4100 Seraing,93,
https://www.immoweb.be/en/classified/house/for-sale/flemalle/4400/11371237,,House,Not installed,,,,,179000,2.0,4.0,,To restore,,House,,4400 FLÉMALLE,140,
https://www.immoweb.be/en/classified/house/for-sale/rochefort/5580/20077704,,House,Installed,,,No,60,179000,2.0,4.0,,Good,,House,,5580 Rochefort,161,
https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20148086,,House,Semi equipped,,,,10,185000,3.0,4.0,,Good,,House,,4100 Seraing,126,
https://www.immoweb.be/en/classified/house/for-sale/marche-en-famenne/6900/20017054,,House,Not installed,,,No,,185000,4.0,3.0,,Good,,House,Yes,6900 Marche-en-Famenne,2131,
https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/11440824,,House,Semi equipped,,,No,13,188000,3.0,2.0,,To be done up,,House,,4040 HERSTAL,,
https://www.immoweb.be/en/classified/house/for-sale/marche-en-famenne/6900/20192027,,House,Installed,,,,20,199000,3.0,2.0,,Just renovated,,House,,6900 MARCHE-EN-FAMENNE,170,
https://www.immoweb.be/en/classified/house/for-sale/sinsin/5377/20004344,,House,Not installed,,,No,30,229000,4.0,4.0,,To be done up,,House,,5377 Sinsin,740,
https://www.immoweb.be/en/classified/house/for-sale/ans/4430/11487082,,House,,,,,,230000,3.0,5.0,,To be done up,,House,,4430 ANS,108,
https://www.immoweb.be/en/classified/house/for-sale/flemalle/4400/20148819,,House,Semi equipped,,,No,38,240000,3.0,3.0,,As new,,House,,4400 Flémalle,287,
https://www.immoweb.be/en/classified/house/for-sale/niel/2845/20072941,,House,Semi equipped,,,,6,245000,2.0,3.0,,To renovate,,House,,2845 NIEL,12,
https://www.immoweb.be/en/classified/town-house/for-sale/jupille-sur-meuse/4020/20234550,,Town-house,Installed,,,,15,245000,3.0,5.0,,To renovate,,Town-house,,4020 JUPILLE-SUR-MEUSE,115,
https://www.immoweb.be/en/classified/house/for-sale/wiekevorst/2222/20138027,,House,Semi equipped,,,,,246000,4.0,3.0,,To renovate,,House,,2222 WIEKEVORST,640,
https://www.immoweb.be/en/classified/house/for-sale/putte/2580/20092170,,House,,,,,,248000,4.0,3.0,,To renovate,,House,Yes,2580 PUTTE,,
https://www.immoweb.be/en/classified/house/for-sale/nandrin/4550/20027183,,House,Installed,,,No,40,249000,4.0,4.0,,To renovate,,House,,4550 Nandrin,1038,
https://www.immoweb.be/en/classified/bungalow/for-sale/nivelles/1400/11439110,,Bungalow,Installed,,,No,18,250000,4.0,2.0,,Good,,Bungalow,,1400 Nivelles,622,
https://www.immoweb.be/en/classified/house/for-sale/grivegnee/4030/20218966,,House,Installed,,,,,259000,2.0,2.0,,Good,,House,,4030 GRIVEGNÉE,88,
https://www.immoweb.be/en/classified/house/for-sale/hoboken/2660/20220541,,House,,,,,,265000,2.0,2.0,,To be done up,,House,,2660 HOBOKEN,82,
https://www.immoweb.be/en/classified/house/for-sale/langdorp/3201/11180195,,House,,,,,30,269000,,3.0,,To renovate,,House,,3201 Langdorp,315,
https://www.immoweb.be/en/classified/bungalow/for-sale/flemalle/4400/20108434,,Bungalow,Semi equipped,,,No,40,270000,4.0,2.0,,Good,,Bungalow,,4400 Flémalle,1153,
https://www.immoweb.be/en/classified/house/for-sale/mouscron/7700/20169744,,House,Installed,,,,,275000,3.0,7.0,,To renovate,,House,Yes,7700 Mouscron,,
https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2660/20082023,,House,Semi equipped,,,,,279900,2.0,3.0,,To be done up,,House,,2660 ANTWERPEN,40,
https://www.immoweb.be/en/classified/house/for-sale/liege/4020/20227569,,House,Installed,,,,15,289000,2.0,4.0,,Good,,House,,4020 LIÈGE,,
https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20206492,,House,Installed,,,No,20,289000,3.0,3.0,,As new,,House,,4100 Seraing,140,
https://www.immoweb.be/en/classified/house/for-sale/arlon/6700/10867683,,House,Semi equipped,,,,33,290000,3.0,4.0,,Good,,House,,6700 Arlon,583,
