URL,Subtype of property,Number of facades,Number of rooms,Price,Living Area,State of the building,Furnished,Terrace,Open fire,Terrace Area,Surface area of the plot of land,Swimming pool,Garden Area,Surface of the land,Garden,Locality,Type of property,Fully equipped kitchen
https://www.immoweb.be/en/classified/house/for-sale/saint-nicolas/4420/20285982,House,2,2,199000,,Just renovated,,,,15,,,40,,,4420 SAINT-NICOLAS,House,Installed
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/waregem/8793/20314610,Goehuyse,,,From425500To445000,,,,,,,,,,,,,Goehuyse,
https://www.immoweb.be/en/classified/house/for-sale/rhode-saint-genese/1640/20214186,House,3,3,379000,,Good,,,,10,,,271,,,1640 Rhode-Saint-Gen�se,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/20314840,House,,5,189000,,To renovate,,Yes,,,,,,,,9600 RONSE,House,Semi equipped
https://www.immoweb.be/en/classified/house/for-sale/sint-katelijne-waver/2860/20311089,House,,3,315000,,,,,,,,,,,,2860 Sint-Katelijne-Waver,House,
https://www.immoweb.be/en/classified/house/for-sale/kapelle-op-den-bos/1880/20312573,House,3,3,365000,,To renovate,,,,,,,,,,1880 KAPELLE-OP-DEN-BOS,House,Semi equipped
https://www.immoweb.be/en/classified/house/for-sale/mortsel/2640/20311412,House,,3,448000,,Good,,,,,,,,,,2640 MORTSEL,House,Semi equipped
https://www.immoweb.be/en/classified/country-cottage/for-sale/hulste/8531/20311370,Country house,4,3,595000,,To renovate,,,,,,,,,,8531 HULSTE,Country house,Semi equipped
https://www.immoweb.be/en/classified/villa/for-sale/vilvoorde/1800/20312560,Villa,4,4,699000,,Good,,,,100,,,400,,,,Villa,Installed
https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20312464,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/westende/8434/20297020,House,,2,149500,,To be done up,Yes,Yes,,,,,,,,8434 Westende,House,
https://www.immoweb.be/en/classified/house/for-sale/wanfercee-baulet/6224/20296623,House,2,2,165000,,To be done up,,,,,,,,,,6224 WANFERC�E-BAULET,House,Semi equipped
https://www.immoweb.be/en/classified/house/for-sale/paliseul/6850/20294525,House,3,3,165000,,Good,,,,,,,,,,6850 PALISEUL,House,Installed
