URL,Terrace Area,Living Area,State of the building,Price,Swimming pool,Type of property,Open fire,Furnished,Terrace,Garden,Number of facades,Number of rooms,Subtype of property,Fully equipped kitchen,Locality,Garden Area,Surface of the land,Surface area of the plot of land
https://www.immoweb.be/en/classified/exceptional-property/for-sale/spa/4900/20201168,,,As new,1625000,,Exceptional property,,No,Yes,,4,9,Exceptional property,Installed,4900 Spa,3671,,
https://www.immoweb.be/en/classified/villa/for-sale/knokke/8300/20235652,,,As new,1690000,,Villa,,,Yes,,3,3,Villa,Hyper equipped,8300 Knokke,,,
https://www.immoweb.be/en/classified/house/for-sale/brasschaat/2930/20210234,,,Good,1980000,,House,,,,,,5,House,Installed,2930 Brasschaat,3149,,
https://www.immoweb.be/en/classified/villa/for-sale/uccle/1180/10379148,150,,To be done up,2150000,,Villa,,No,,,4,5,Villa,Hyper equipped,1180 Uccle,3200,,
https://www.immoweb.be/en/classified/villa/for-sale/westkapelle/8300/10893387,,,Just renovated,2150000,,Villa,,,Yes,,4,4,Villa,Hyper equipped,8300 Westkapelle,,,
https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20212538,20,,Good,2200000,,House,,,,,4,6,House,Hyper equipped,1180 Uccle,1100,,
https://www.immoweb.be/en/classified/villa/for-sale/uccle/1180/11347826,,,Good,2495000,,Villa,,No,Yes,,4,5,Villa,Hyper equipped,1180 Uccle,2800,,
https://www.immoweb.be/en/classified/house/for-sale/knokke-zoute/8300/11369100,,,As new,2950000,,House,,No,Yes,,4,6,House,Hyper equipped,8300 Knokke-Zoute,,,
https://www.immoweb.be/en/classified/house/for-sale/machelen-9870/9870/20285747,,,Good,585000,,House,,,,,,3,House,Installed,9870 Machelen (9870),,,
https://www.immoweb.be/en/classified/house/for-sale/huy/4500/20227252,48,,,385000,,House,,No,,,3,4,House,,4500 Huy,512,,
https://www.immoweb.be/en/classified/house/for-sale/langemark/8920/20279777,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/villa/for-sale/langemark/8920/20279779,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/town-house/for-sale/jette/1090/20119698,,,To renovate,425000,,Town-house,,,Yes,,2,4,Town-house,Not installed,1090 Jette,150,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/zwijndrecht/2070/20271342,,,,From480000To500000,,"""Richard Orlentstraat""",,,,,,,"""Richard Orlentstraat""",,2070 ZWIJNDRECHT,,,
https://www.immoweb.be/en/classified/house/for-sale/destelbergen/9070/20279626,,,To renovate,795000,,House,,No,Yes,,,2,House,,9070 Destelbergen,,,
https://www.immoweb.be/en/classified/house/for-sale/fleurus/6220/20306769,125,,Good,199000,,House,,,,,3,2,House,,,233,,
https://www.immoweb.be/en/classified/house/for-sale/hechtel-eksel/3940/20305726,,,To renovate,279000,,House,,,Yes,,4,3,House,,3940 Hechtel-Eksel,,,
https://www.immoweb.be/en/classified/house/for-sale/puurs-sint-amands/2890/20306529,,,Good,375000,,House,,No,,,2,3,House,Hyper equipped,2890 Puurs-Sint-Amands,,,
https://www.immoweb.be/en/classified/house/for-sale/brakel/9660/20304631,,,,414316,,House,,No,Yes,,4,4,House,,9660 Brakel,,,
https://www.immoweb.be/en/classified/house/for-sale/deerlijk/8540/20308227,,,As new,425000,,House,,,Yes,,3,3,House,Hyper equipped,8540 Deerlijk,,,
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/20288912,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/pont-a-celles/6230/20289930,,,To renovate,160000,,House,,No,,,3,3,House,Not installed,6230 Pont-à-Celles,250,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/herne/1541/20288955,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/herne/1541/20288889,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/leuven/3000/20290728,,,To renovate,298000,,House,,,,,,4,House,,3000 Leuven,,,
https://www.immoweb.be/en/classified/house/for-sale/beersel/1650/20290058,,,Good,559000,,House,,,,,4,3,House,Not installed,1650 BEERSEL,550,,
https://www.immoweb.be/en/classified/house/for-sale/maaseik/3680/20270158,,,Good,438000,,House,,,,,,3,House,,3680 Maaseik,,,
https://www.immoweb.be/en/classified/house/for-sale/kraainem/1950/20244551,15,,To be done up,549000,,House,,No,,,3,3,House,Hyper equipped,1950 Kraainem,420,,
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20270230,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/sint-amandsberg/9040/20267666,,,Just renovated,725000,,House,,No,,,,3,House,Installed,9040 Sint-Amandsberg,52,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/watermael-boitsfort/1170/20177799,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/villa/for-sale/brasschaat/2930/20268900,,,,845000,,Villa,,,Yes,,4,5,Villa,Semi equipped,2930 Brasschaat,1600,,
https://www.immoweb.be/en/classified/house/for-sale/zedelgem/8211/20315915,,,To renovate,259000,,House,,,,,4,3,House,,8211 Zedelgem,,,
https://www.immoweb.be/en/classified/house/for-sale/wachtebeke/9185/20316089,,,,315000,,House,,,,,4,3,House,Not installed,9185 WACHTEBEKE,,,
https://www.immoweb.be/en/classified/house/for-sale/merksem/2170/20316599,,,To be done up,329000,,House,,,,,,2,House,Semi equipped,2170 MERKSEM,,,
https://www.immoweb.be/en/classified/villa/for-sale/braine-lalleud/1420/20316845,,,,330000,,Villa,,No,,,4,3,Villa,,1420 Braine-l'Alleud,250,,
https://www.immoweb.be/en/classified/exceptional-property/for-sale/herve/4650/20316181,,,As new,1985000,,Exceptional property,,Yes,Yes,,4,5,Exceptional property,Installed,4650 Herve,,,
https://www.immoweb.be/en/classified/town-house/for-sale/la-roche-en-ardenne/6980/20298964,,,Good,280000,,Town-house,,,Yes,,,3,Town-house,,6980 La Roche-en-Ardenne,,,
https://www.immoweb.be/en/classified/house/for-sale/la-hulpe/1310/11419242,35,,To renovate,320000,,House,,No,,,3,3,House,Not installed,1310 La hulpe,257,,
https://www.immoweb.be/en/classified/house/for-sale/ninove/9400/20299556,,,Good,325000,,House,,,,,3,3,House,Installed,9400 NINOVE,,,
https://www.immoweb.be/en/classified/house/for-sale/drongen/9031/20298402,,,,420000,,House,,,Yes,,3,4,House,Installed,9031 DRONGEN,,,
https://www.immoweb.be/en/classified/house/for-sale/hoogstraten/2321/20298361,,,As new,579000,,House,,,,,4,3,House,,2321 Hoogstraten,,,
https://www.immoweb.be/en/classified/house/for-sale/izegem/8870/20298300,,,Good,645000,,House,,,Yes,,4,5,House,,8870 Izegem,,,
https://www.immoweb.be/en/classified/villa/for-sale/arendonk/2370/20298374,,,As new,945000,,Villa,,,,,4,6,Villa,,2370 Arendonk,,,
https://www.immoweb.be/en/classified/exceptional-property/for-sale/dilbeek/1700/20300394,,,As new,965000,,Exceptional property,,,Yes,,4,3,Exceptional property,Hyper equipped,1700 Dilbeek,,,
https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8300/20298956,,,As new,2195000,,House,,,Yes,,3,4,House,,8300 Knokke-Heist,,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/brussels/1000/20297558,,,Good,3500000,,Apartment block,,,,,,4,Apartment block,,1000 Brussels,,,
https://www.immoweb.be/en/classified/chalet/for-sale/wanze/4520/20277566,,,Good,205000,,Chalet,,,Yes,,4,2,Chalet,Semi equipped,4520 WANZE,,,
https://www.immoweb.be/en/classified/house/for-sale/houthulst/8650/20278441,,,To be done up,285000,,House,,,Yes,,,6,House,,8650 Houthulst,,,
https://www.immoweb.be/en/classified/house/for-sale/opvelp/3360/20275491,,,Good,625000,,House,,No,Yes,,,4,House,Hyper equipped,3360 Opvelp,,,
https://www.immoweb.be/en/classified/house/for-sale/lanaye/4600/10979538,,,,229000,,House,,,Yes,,3,3,House,Not installed,4600 Lanaye,115,,
https://www.immoweb.be/en/classified/house/for-sale/lanaye/4600/10968435,,,,229000,,House,,,Yes,,3,3,House,Not installed,4600 Lanaye,115,,
https://www.immoweb.be/en/classified/country-cottage/for-sale/tournai/7534/20314631,16,,To renovate,265000,,Country house,,,,,3,2,Country house,Semi equipped,7534 Tournai,1000,,
https://www.immoweb.be/en/classified/house/for-sale/muizen/2812/20291332,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/villa/for-sale/grimbergen/1850/20314007,25,,As new,595000,,Villa,,No,,,4,4,Villa,,1850 Grimbergen,350,,
https://www.immoweb.be/en/classified/bungalow/for-sale/vilvoorde/1800/20071566,100,,Good,699000,,Bungalow,,,,,4,4,Bungalow,Installed,,400,,
https://www.immoweb.be/en/classified/house/for-sale/lommel/3920/20309826,,,To be done up,539000,,House,,,Yes,,4,5,House,Installed,3920 Lommel,,,
https://www.immoweb.be/en/classified/exceptional-property/for-sale/saint-ghislain/7334/20236347,120,,As new,1950000,,Exceptional property,,Yes,,,4,24,Exceptional property,Hyper equipped,7334 Saint-Ghislain,1500,,
https://www.immoweb.be/en/classified/house/for-sale/waregem/8790/20293052,,,Good,199000,,House,,,Yes,,3,3,House,,8790 Waregem,,,
https://www.immoweb.be/en/classified/house/for-sale/proven/8972/20292333,,,Good,273000,,House,,No,Yes,,2,3,House,Installed,8972 Proven,,,
https://www.immoweb.be/en/classified/house/for-sale/vilvoorde/1800/20293604,,,,299000,,House,,No,,,2,2,House,Hyper equipped,1800 Vilvoorde,,,
https://www.immoweb.be/en/classified/house/for-sale/bouillon/6830/20292119,30,,To renovate,329000,,House,,Yes,,,3,3,House,Not installed,6830 Bouillon,,,
https://www.immoweb.be/en/classified/town-house/for-sale/oostende/8400/20293293,,,As new,399000,,Town-house,,,Yes,,2,3,Town-house,,8400 Oostende,178,,
https://www.immoweb.be/en/classified/house/for-sale/aartselaar/2630/20293305,,,Good,448000,,House,,,Yes,,,4,House,Installed,2630 AARTSELAAR,,,
https://www.immoweb.be/en/classified/villa/for-sale/harelbeke/8530/20292991,,,As new,695000,,Villa,,,Yes,,4,4,Villa,,8530 Harelbeke,400,,
https://www.immoweb.be/en/classified/house/for-sale/wichelen/9260/20245736,,,Good,179000,,House,,No,Yes,,2,2,House,Installed,9260 Wichelen,,,
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20264154,,,Good,450000,,House,,No,,,,3,House,,9000 Gent,60,,
https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/20155276,,,Good,795000,,House,,No,Yes,,2,5,House,Hyper equipped,1030 Schaerbeek,,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/woluwe-saint-pierre/1150/20250134,9,,Good,995000,,Apartment block,,No,,,2,5,Apartment block,Installed,1150 Woluwe-Saint-Pierre,20,,
https://www.immoweb.be/en/classified/other-property/for-sale/antwerpen/2100/20307890,3,,Good,495000,,Other properties,,,,,4,4,Other properties,Installed,2100 Antwerpen,68,,
https://www.immoweb.be/en/classified/house/for-sale/aartselaar/2630/20235550,150,,As new,569000,,House,,,,,3,3,House,Hyper equipped,2630 Aartselaar,600,,
https://www.immoweb.be/en/classified/house/for-sale/hermalle-sous-argenteau/4681/20214974,4,,To be done up,135000,,House,,,,,2,2,House,Semi equipped,4681 Hermalle-sous-argenteau,40,,
https://www.immoweb.be/en/classified/house/for-sale/neufchateau/6840/20148920,,,Good,215000,,House,,No,Yes,,3,3,House,Installed,6840 Neufchâteau,201,,
https://www.immoweb.be/en/classified/house/for-sale/tamines/5060/20246645,13,,Good,319000,,House,,,,,2,4,House,Hyper equipped,5060 Tamines,608,,
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20176293,,,To be done up,495000,,House,,No,Yes,,2,5,House,Installed,9000 Gent,138,,
https://www.immoweb.be/en/classified/house/for-sale/heist-op-den-berg/2220/20300473,24,,,499000,,House,,,,,3,5,House,USA hyper equipped,2220 Heist-Op-Den-Berg,,,
https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/20139528,21,,As new,1350000,,House,,No,,,2,5,House,Hyper equipped,1050 Ixelles,21,,
https://www.immoweb.be/en/classified/house/for-sale/la-louviere-saint-vaast/7100/20305368,,,Good,149000,,House,,No,Yes,,3,3,House,Installed,7100 La Louvière Saint-Vaast,,,
