URL,Locality,Type of property,Furnished,Number of rooms,Fully equipped kitchen,Living Area,Open fire,Terrace Area,Surface of the land,Surface area of the plot of land,Terrace,Swimming pool,Subtype of property,Price,Number of facades,Garden,State of the building,Garden Area
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20316946,2600 BERCHEM,Apartment,,1,Installed,,,9,,,,,Apartment,149000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2100/20315980,2100 ANTWERPEN,Apartment,,3,Installed,,,2,,,,,Apartment,248000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/20315431,2660 HOBOKEN,Apartment,,3,,,,26,,,,,Apartment,229000,2,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20315652,1180 Uccle,Apartment,No,3,Hyper equipped,,,10,,,,,Apartment,470000,2,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20315324,2018 ANTWERPEN,Apartment,,2,Installed,,,7,,,,,Apartment,480000,2,,Just renovated,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/helecine/1357/20315407,,Hélécine - Résidence Basile,,,,,,,,,,,Hélécine - Résidence Basile,From132500To244500,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent/9000/20314083,9000 Gent,Bloei,,,,,,,,,,,Bloei,From235000To400000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/sint-denijs-westrem/9051/20315271,9051 Sint-Denijs-Westrem,Bloei,,,,,,,,,,,Bloei,From235000To400000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/deinze/9800/20316163,9800 Deinze,Thuis aan de statie,,,,,,,,,,,Thuis aan de statie,From232000To465000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/anderlecht/1070/20317200,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/forest/1190/20315731,1190 Forest,PAVILLE FOREST,,,,,,,,,,,PAVILLE FOREST,From286033To333550,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/chaumont-gistoux/1325/20315432,1325 Chaumont-Gistoux,Les Coquelicots - C,,,,,,,,,,,Les Coquelicots - C,From302810To364790,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/asse/1730/20315766,,Chalet d'Assche,,,,,,,,,,,Chalet d'Assche,From315000To375000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/knokke/8300/20312233,8300 Knokke,Pierlala,,,,,,,,,,,Pierlala,From875000To2975000,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20313791,1050 IXELLES,Apartment,No,2,Installed,,,,,,Yes,,Apartment,695000,2,,Just renovated,
https://www.immoweb.be/en/classified/apartment/for-sale/wommelgem/2160/20313380,2160 WOMMELGEM,Apartment,,3,Installed,,,4,,,,,Apartment,249000,,,Good,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/anderlecht/1070/20313048,,Erasme Campus,,,,,,,,,,,Erasme Campus,From132350To385000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/mons/7000/20314330,,Appartements neufs à Saint-Symphorien,,,,,,,,,,,Appartements neufs à Saint-Symphorien,From274000To308000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/saint-symphorien/7030/20314332,7030 SAINT-SYMPHORIEN,Appartements neufs - Saint-Symphorien,,,,,,,,,,,Appartements neufs - Saint-Symphorien,From274000To304000,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/boom/2850/20310616,2850 BOOM,Apartment,,2,Installed,,,13,,,,,Apartment,249900,2,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/20315429,2660 HOBOKEN,Apartment,,2,Installed,,,14,,,,,Apartment,265000,2,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/20316537,8500 Kortrijk,Apartment,,2,Installed,,,8,,,,,Apartment,349000,2,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20313783,1070 Anderlecht,Apartment,No,3,Hyper equipped,,,8,,,,,Apartment,315000,2,,As new,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/oudenaarde/9700/20310283,9700 Oudenaarde,Irish Pipes,,,,,,,,,,,Irish Pipes,From275000To329000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent-sint-denijs-westrem/9051/20310286,9051 Gent Sint-Denijs-Westrem,Mirage,,,,,,,,,,,Mirage,From369000To490000,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/astene/9800/20316678,9800 Astene,Apartment,No,3,Installed,,,4,,,,,Apartment,399000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20315098,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/lochristi/9080/20311532,9080 Lochristi,Apartment,No,2,Installed,,,2,,,,,Apartment,349000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20315035,1180 UCCLE,Apartment,,4,Installed,,,25,,,,,Apartment,650000,3,,To be done up,
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20309124,2600 BERCHEM,Apartment,,2,Installed,,,19,,,,,Apartment,389000,,,Good,
https://www.immoweb.be/en/classified/penthouse/for-sale/willebroek/2830/20314605,2830 WILLEBROEK,Penthouse,,3,Installed,,,7,,,,,Penthouse,299000,2,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/waregem/8790/20312550,8790 WAREGEM,Apartment,,2,Installed,,,25,,,,,Apartment,345000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/wilrijk/2610/20311819,2610 WILRIJK,Apartment,,3,Installed,,,12,,,,,Apartment,395000,2,,Just renovated,
https://www.immoweb.be/en/classified/ground-floor/for-sale/ingelmunster/8770/20316313,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/evergem/9940/20315703,9940 EVERGEM,Apartment,,2,Installed,,,17,,,,,Apartment,275000,2,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20315686,9000 GENT,Apartment,,2,Hyper equipped,,,,,,,,Apartment,445000,2,,Just renovated,
https://www.immoweb.be/en/classified/apartment/for-sale/stabroek/2940/20310934,2940 Stabroek,Apartment,,2,Installed,,,14,,,,,Apartment,250000,,,Just renovated,
https://www.immoweb.be/en/classified/apartment/for-sale/stabroek/2940/20310935,2940 Stabroek,Apartment,,2,Installed,,,14,,,,,Apartment,255000,,,Just renovated,
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20314951,1080 Molenbeek-Saint-Jean,Apartment,No,2,,,,26,,,,,Apartment,275000,,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/koekelberg/1081/20314950,1081 Koekelberg,Apartment,No,2,,,,26,,,,,Apartment,275000,,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/berchem-sainte-agathe/1082/20314949,1082 Berchem-Sainte-Agathe,Apartment,No,2,,,,26,,,,,Apartment,275000,,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20313639,1050 Ixelles,Apartment,No,2,Installed,,,3,,,,,Apartment,295000,2,,To renovate,
https://www.immoweb.be/en/classified/apartment/for-sale/aalst/9300/20311469,9300 Aalst,Apartment,,4,Installed,,,15,,,,,Apartment,549000,2,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20313793,1000 BRUXELLES,Apartment,,2,Installed,,,,,,Yes,,Apartment,695000,2,,Just renovated,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-jans-molenbeek/1080/20308496,1080 SINT-JANS-MOLENBEEK,Apartment,,1,,,,11,,,,,Apartment,165000,2,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20304816,2600 BERCHEM,Apartment,,3,Installed,,,4,,,,,Apartment,319000,2,,Just renovated,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20304633,9000 Gent,Apartment,No,2,Installed,,,7,,,,,Apartment,369000,,,Good,
https://www.immoweb.be/en/classified/penthouse/for-sale/deurne/2100/20306871,2100 DEURNE,Penthouse,,3,Installed,,,110,,,,,Penthouse,400000,2,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20306870,2100 DEURNE,Apartment,,3,Installed,,,110,,,,,Apartment,400000,2,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-niklaas/9100/20315651,9100 SINT-NIKLAAS,Apartment,,1,Semi equipped,,,10,,,,,Apartment,125000,,,To renovate,
https://www.immoweb.be/en/classified/flat-studio/for-sale/uccle/1180/20317231,1180 Uccle,Flat studio,No,1,Installed,,,,,,Yes,,Flat studio,179000,4,,Good,18
https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/20311522,8434 Westende,Apartment,Yes,1,,,,,,,Yes,,Apartment,199500,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20315281,8400 Oostende,Apartment,No,1,,,,,,,,,Apartment,255000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20312801,8400 Oostende,Apartment,No,3,Installed,,,,,,,,Apartment,269000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/houthalen/3530/20314612,3530 Houthalen,Apartment,,3,Installed,,,,,,,,Apartment,295000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/20313532,8430 Middelkerke,Apartment,Yes,2,,,,,,,Yes,,Apartment,320000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/ledeberg/9050/20312839,9050 Ledeberg,Apartment,No,2,,,,60,,,,,Apartment,399000,,,Good,
https://www.immoweb.be/en/classified/ground-floor/for-sale/mechelen/2800/20309622,2800 MECHELEN,Ground floor,,2,Installed,,,7,,,,,Ground floor,375000,2,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20315428,1030 Schaerbeek,Apartment,No,1,Semi equipped,,,5,,,,,Apartment,295000,2,,As new,
https://www.immoweb.be/en/classified/penthouse/for-sale/woluwe-saint-lambert/1200/20316400,1200 Woluwe-Saint-Lambert,Penthouse,No,3,Hyper equipped,,,30,,,,,Penthouse,790000,2,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20313658,1000 Bruxelles,Apartment,,2,Not installed,,,,,,Yes,,Apartment,375000,2,,Good,
https://www.immoweb.be/en/classified/duplex/for-sale/bruxelles/1180/20312977,1180 Bruxelles,Duplex,,3,Hyper equipped,,,20,,,,,Duplex,790000,2,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20305843,2600 BERCHEM,Apartment,,2,Installed,,,5,,,,,Apartment,235000,3,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/zottegem/9620/20310099,9620 Zottegem,Apartment,No,1,Installed,,,9,,,,,Apartment,269500,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/zottegem/9620/20310100,9620 Zottegem,Apartment,No,2,Installed,,,13,,,,,Apartment,319500,,,Good,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/saint-gilles/1060/20306771,1060 Saint-Gilles,FOREST VILLAGE II,,,,,,,,,,,FOREST VILLAGE II,From188000To460000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/forest/1190/20306440,1190 Forest,FOREST VILLAGE II,,,,,,,,,,,FOREST VILLAGE II,From188000To460000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/eeklo/9900/20305526,9900 Eeklo,,,,,,,,,,,,,From205000To395000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/westende/8434/20307285,8434 WESTENDE,Umarell,,,,,,,,,,,Umarell,From225000To395000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/lier/2500/20308333,,Residentie Fenway Park,,,,,,,,,,,Residentie Fenway Park,From254900To319900,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/aalst/9300/20306091,9300 AALST,Residentie NINO,,,,,,,,,,,Residentie NINO,From260250To304000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/schaerbeek/1030/20307342,1030 Schaerbeek,Idylles,,,,,,,,,,,Idylles,From265000To570000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/liedekerke/1770/20306090,1770 LIEDEKERKE,Vallei Houtkauter,,,,,,,,,,,Vallei Houtkauter,From286000To462000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/aalst/9300/20305845,9300 Aalst,Clavis,,,,,,,,,,,Clavis,From288600To306800,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/berchem-sainte-agathe/1082/20306341,1082 Berchem-Sainte-Agathe,Potaarde,,,,,,,,,,,Potaarde,From310000To418000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/ixelles/1050/20306685,,The Bright,,,,,,,,,,,The Bright,From338500To1691000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/mere/9420/20306075,9420 MERE,Residentie Blanken,,,,,,,,,,,Residentie Blanken,From360000To430000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/baardegem/9310/20306088,9310 BAARDEGEM,BIOMOLEN,,,,,,,,,,,BIOMOLEN,From455600To542214,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/woluwe-saint-pierre/1150/20306486,1150 Woluwe-Saint-Pierre,TERVUREN SQUARE,,,,,,,,,,,TERVUREN SQUARE,From690000To875000,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/ninove/9400/20304114,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20309681,8300 Knokke,Apartment,No,3,Installed,,,10,,,,,Apartment,765000,2,,To renovate,
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/20316893,4000 Liège,Apartment,,2,Installed,,,8,,,,,Apartment,169000,4,,,
https://www.immoweb.be/en/classified/apartment/for-sale/de-haan/8420/20311480,8420 De Haan,Apartment,No,1,Installed,,,,,,Yes,,Apartment,185000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/20314996,8434 Westende,Apartment,,2,,,,4,,,,,Apartment,219000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/aalst-9300/9300/20312205,9300 Aalst (9300),Apartment,No,2,,,,,,,Yes,,Apartment,240000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/roeselare/8800/20314962,8800 Roeselare,Apartment,,3,,,,5,,,,,Apartment,325000,,,Good,29
https://www.immoweb.be/en/classified/duplex/for-sale/blankenberge/8370/20313512,8370 Blankenberge,Duplex,,3,Installed,,,,,,Yes,,Duplex,449000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20317050,8400 Oostende,Apartment,No,2,,,,,,,Yes,,Apartment,595000,,,Just renovated,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1040/20308983,1040 Bruxelles,Apartment,No,1,Hyper equipped,,,,,,,,Apartment,175000,2,,To be done up,
https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20308527,1030 Schaerbeek,Apartment,No,3,Hyper equipped,,,8,,,,,Apartment,399000,2,,As new,
https://www.immoweb.be/en/classified/apartment/for-sale/kontich/2550/20306709,2550 KONTICH,Apartment,,4,Installed,,,27,,,,,Apartment,695000,,,Good,
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20309857,2600 BERCHEM,Apartment,,2,Semi equipped,,,10,,,,,Apartment,249000,,,To renovate,
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20309137,8400 Oostende,Apartment,,2,,,,14,,,,,Apartment,419000,,,Good,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/diksmuide/8600/20302604,8600 Diksmuide,Residentie 'd'Oude Smisse',,,,,,,,,,,Residentie 'd'Oude Smisse',From215250To325615,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/wommelgem/2160/20303553,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent/9000/20302956,9000 Gent,Bloei,,,,,,,,,,,Bloei,From260000To450000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent/9000/20302945,9000 Gent,Bloei - gebouw Korenbloem,,,,,,,,,,,Bloei - gebouw Korenbloem,260000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent/9051/20302928,9051 Gent,Bloei,,,,,,,,,,,Bloei,From260000To450000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/berchem-sainte-agathe/1082/20302338,1082 Berchem-Sainte-Agathe,LA RESIDENCE DES CHATS,,,,,,,,,,,LA RESIDENCE DES CHATS,From290000To418000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/lier/2500/20305115,2500 LIER,Lovenhof,,,,,,,,,,,Lovenhof,From302000To417600,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent/9000/20302917,9000 Gent,Bloei - gebouw Margriet,,,,,,,,,,,Bloei - gebouw Margriet,From305000To385000,,,,
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent/9051/20302999,9051 Gent,Bloei - gebouw Margriet,,,,,,,,,,,Bloei - gebouw Margriet,From305000To385000,,,,
