URL,Locality,Furnished,Open fire,Garden Area,Type of property,Terrace,Garden,Price,Subtype of property,Fully equipped kitchen,Surface of the land,Number of facades,State of the building,Surface area of the plot of land,Swimming pool,Living Area,Terrace Area,Number of rooms
https://www.immoweb.be/en/classified/duplex/for-sale/haaltert/9450/20240906,9450 Haaltert,No,,,Duplex,,,359000,Duplex,Hyper equipped,,3,As new,,,,15,4
https://www.immoweb.be/en/classified/apartment/for-sale/lier/2500/20281266,2500 Lier,No,,133,Apartment,Yes,,385000,Apartment,Installed,,2,As new,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20250171,1200 Woluwe-Saint-Lambert,No,,,Apartment,,,395000,Apartment,Hyper equipped,,4,Good,,,,8,3
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20204351,1050 Ixelles,No,,,Apartment,,,410000,Apartment,Hyper equipped,,4,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20218443,1200 Woluwe-Saint-Lambert,No,,,Apartment,Yes,,410000,Apartment,Not installed,,2,To be done up,,,,,4
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20282594,9000 Gent,No,,,Apartment,,,435000,Apartment,,,,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20209690,1030 Schaerbeek,No,,,Apartment,,,495000,Apartment,Hyper equipped,,,Good,,,,20,3
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20204353,1000 Bruxelles,No,,70,Apartment,Yes,,550000,Apartment,Hyper equipped,,2,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20282771,8300 Knokke-Heist,No,,,Apartment,Yes,,595000,Apartment,,,,Good,,,,,1
https://www.immoweb.be/en/classified/duplex/for-sale/bruxelles/1000/20193067,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/penthouse/for-sale/ixelles/1050/20208553,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/duplex/for-sale/woluwe-saint-pierre/1150/20165105,1150 Woluwe-Saint-Pierre,No,,,Duplex,,,699000,Duplex,Hyper equipped,,3,As new,,,,24,2
https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20270343,1030 Schaerbeek,,,,Apartment,Yes,,740000,Apartment,Hyper equipped,,,To be done up,,,,,5
https://www.immoweb.be/en/classified/penthouse/for-sale/woluwe-saint-pierre/1150/20266256,1150 Woluwe-Saint-Pierre,No,,,Penthouse,,,875000,Penthouse,Hyper equipped,,2,Just renovated,,,,25,2
https://www.immoweb.be/en/classified/penthouse/for-sale/woluwe-saint-lambert/1200/20238334,1200 Woluwe-Saint-Lambert,No,,,Penthouse,,,875000,Penthouse,Hyper equipped,,3,Just renovated,,,,25,2
https://www.immoweb.be/en/classified/penthouse/for-sale/etterbeek/1040/20266255,1040 Etterbeek,No,,,Penthouse,,,1150000,Penthouse,Hyper equipped,,2,Just renovated,,,,64,3
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20267820,1000 Bruxelles,,,,Apartment,,,1175000,Apartment,USA hyper equipped,,3,As new,,,,7,4
https://www.immoweb.be/en/classified/penthouse/for-sale/uccle/1180/20151660,1180 Uccle,No,,180,Penthouse,,,1480000,Penthouse,Semi equipped,,4,As new,,,,30,3
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20228292,8300 Knokke-Heist,,,,Apartment,,,2975000,Apartment,Hyper equipped,,2,As new,,,,37,3
https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/20298152,1083 GANSHOREN,No,,,Apartment,,,244500,Apartment,Installed,,2,Good,,,,2,2
https://www.immoweb.be/en/classified/apartment/for-sale/putte/2580/20314862,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/waremme/4300/20312804,4300 Waremme,,,,Apartment,Yes,,140000,Apartment,Semi equipped,,,Good,,,,,2
https://www.immoweb.be/en/classified/ground-floor/for-sale/harelbeke/8530/20313880,8530 Harelbeke,No,,88,Ground floor,,,349000,Ground floor,,,3,Good,,,,40,3
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2000/2000/20279745,2000 ANTWERPEN 2000,,,,Apartment,,,239000,Apartment,Not installed,,,Good,,,,2,2
https://www.immoweb.be/en/classified/apartment/for-sale/kraainem/1950/20270724,1950 Kraainem,No,,,Apartment,,,340000,Apartment,Hyper equipped,,2,Good,,,,,2
https://www.immoweb.be/en/classified/duplex/for-sale/brussels/1000/20291727,1000 Brussels,No,,,Duplex,,,355000,Duplex,Installed,,2,As new,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/koekelberg/1081/20291584,1081 Koekelberg,No,,,Apartment,Yes,,370000,Apartment,Not installed,,2,To renovate,,,,,5
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20289593,2000 Antwerpen,,,,Apartment,,,398000,Apartment,,,2,Good,,,,17,2
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20289068,2018 Antwerpen,No,,,Apartment,,,425000,Apartment,Hyper equipped,,3,Good,,,,15,2
https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/20308803,1083 Ganshoren,,,,Apartment,,,169000,Apartment,Installed,,,To renovate,,,,9,1
https://www.immoweb.be/en/classified/apartment/for-sale/eeklo/9900/20304719,9900 Eeklo,,,,Apartment,Yes,,185000,Apartment,Installed,,,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/20308489,,,,,Apartment,,,210000,Apartment,Installed,,2,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/tubize/1480/20308259,1480 Tubize,No,,,Apartment,,,220000,Apartment,Installed,,2,Good,,,,2,2
https://www.immoweb.be/en/classified/apartment/for-sale/wilrijk/2610/20305047,2610 Wilrijk,No,,,Apartment,,,269000,Apartment,Hyper equipped,,2,Good,,,,18,2
https://www.immoweb.be/en/classified/apartment/for-sale/embourg/4053/20308001,4053 Embourg,No,,,Apartment,Yes,,335000,Apartment,Hyper equipped,,4,As new,,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20305986,9000 Gent,,,,Apartment,,,375000,Apartment,,,2,Good,,,,4,1
https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20262065,1000 BRUSSEL,Yes,,,Apartment,,,215000,Apartment,Installed,,2,Good,,,,18,1
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20258195,1000 Bruxelles,,,,Apartment,,,325000,Apartment,Hyper equipped,,4,As new,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/20131160,1190 Forest,No,,,Apartment,,,325000,Apartment,Hyper equipped,,,As new,,,,5,2
https://www.immoweb.be/en/classified/penthouse/for-sale/forest/1190/20131157,1190 Forest,No,,,Penthouse,,,335000,Penthouse,Hyper equipped,,,As new,,,,11,1
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20258224,1000 Bruxelles,,,,Apartment,,,364000,Apartment,Hyper equipped,,4,As new,,,,8,2
https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/20277745,1190 Forest,,,,Apartment,,,364000,Apartment,Hyper equipped,,2,As new,,,,8,3
https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/20258247,1000 Bruxelles,,,,Ground floor,,,407000,Ground floor,Hyper equipped,,4,As new,,,,10,2
https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/20258238,1000 Bruxelles,,,,Ground floor,,,407000,Ground floor,Hyper equipped,,4,As new,,,,12,2
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20228275,1200 Woluwe-Saint-Lambert,No,,,Apartment,,,540000,Apartment,Hyper equipped,,2,As new,,,,11,2
https://www.immoweb.be/en/classified/apartment/for-sale/lier/2500/20278159,2500 LIER,,,,Apartment,,,245000,Apartment,Installed,,,,,,,6,2
https://www.immoweb.be/en/classified/apartment/for-sale/wondelgem/9032/20275541,9032 Wondelgem,,,,Apartment,Yes,,255000,Apartment,,,,,,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20277704,1070 ANDERLECHT,,,,Apartment,,,269000,Apartment,Installed,,2,Just renovated,,,,6,2
https://www.immoweb.be/en/classified/penthouse/for-sale/kortrijk/8500/20278032,8500 Kortrijk,No,,300,Penthouse,Yes,,790000,Penthouse,Hyper equipped,,3,As new,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20295513,1180 Uccle,No,,,Apartment,,,315000,Apartment,Hyper equipped,,2,Good,,,,11,2
https://www.immoweb.be/en/classified/duplex/for-sale/knokke-heist/8301/20296381,8301 Knokke-Heist,No,,,Duplex,,,1650000,Duplex,Hyper equipped,,2,As new,,,,40,4
https://www.immoweb.be/en/classified/triplex/for-sale/saint-ghislain/7330/20314564,7330 Saint-Ghislain,No,,,Triplex,,,180000,Triplex,Installed,,2,As new,,,,15,3
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20290101,1050 Ixelles,,,,Apartment,,,450000,Apartment,USA installed,,,As new,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20255569,8300 KNOKKE,,,,Apartment,,,580000,Apartment,Installed,,2,Good,,,,5,2
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/20253649,4000 LIÈGE,,,,Apartment,,,690000,Apartment,Installed,,2,Good,,,,9,2
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-zoute/8300/20252388,8300 Knokke-Zoute,Yes,,,Apartment,Yes,,795000,Apartment,Hyper equipped,,2,Good,,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/strombeek-bever/1853/20270206,1853 Strombeek-Bever,No,,,Apartment,Yes,,225000,Apartment,Installed,,,,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen-2000/2000/20268570,2000 Antwerpen (2000),,,,Apartment,Yes,,359000,Apartment,Installed,,,Just renovated,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20155354,1000 Bruxelles,No,,,Apartment,,,495000,Apartment,Installed,,2,Good,,,,5,3
https://www.immoweb.be/en/classified/apartment/for-sale/koekelberg/1081/20288628,1081 Koekelberg,No,,,Apartment,,,249000,Apartment,Semi equipped,,2,Good,,,,10,2
https://www.immoweb.be/en/classified/apartment/for-sale/evergem/9940/20287740,9940 Evergem,No,,,Apartment,,,263668,Apartment,,,,Good,,,,,1
https://www.immoweb.be/en/classified/ground-floor/for-sale/lint/2547/20290664,2547 LINT,,,,Ground floor,,,299500,Ground floor,Installed,,4,,,,,48,2
