URL,Garden Area,Garden,Price,Type of property,Subtype of property,Open fire,State of the building,Surface of the land,Locality,Fully equipped kitchen,Number of facades,Terrace,Living Area,Swimming pool,Furnished,Number of rooms,Surface area of the plot of land,Terrace Area
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20129037,,,229000,Apartment,Apartment,,Good,,8400 Oostende,Installed,,,,,Yes,1,,10
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20207035,,,229900,Apartment,Apartment,,,,2100 Deurne,Semi equipped,,,,,,3,,11
https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/10183359,300,,229990,Apartment,Apartment,,Just renovated,,1083 Ganshoren,Hyper equipped,2,,,,No,2,,8
https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/10163550,300,,229990,Apartment,Apartment,,Just renovated,,1083 Ganshoren,Hyper equipped,2,,,,No,2,,8
https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/20013656,,,230000,Apartment,Apartment,,Good,,8434 WESTENDE,Not installed,2,Yes,,,,1,,
https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/20007378,,,240000,Apartment,Apartment,,Good,,1080 Molenbeek-Saint-Jean,Installed,,,,,No,2,,7
https://www.immoweb.be/en/classified/apartment/for-sale/deerlijk/8540/10671260,,,240000,Apartment,Apartment,,Good,,8540 Deerlijk,,,,,,,1,,18
https://www.immoweb.be/en/classified/apartment/for-sale/deerlijk/8540/10671248,,,244750,Apartment,Apartment,,Good,,8540 Deerlijk,,,,,,,1,,18
https://www.immoweb.be/en/classified/apartment/for-sale/ruisbroek-1601/1601/20142987,,,245000,Apartment,Apartment,,Just renovated,,1601 Ruisbroek (1601),Hyper equipped,,,,,No,2,,
https://www.immoweb.be/en/classified/ground-floor/for-sale/willebroek/2830/20208537,16,,245000,Ground floor,Ground floor,,As new,,2830 Willebroek,,,,,,,1,,
https://www.immoweb.be/en/classified/apartment/for-sale/heist-aan-zee/8301/20068814,,,245000,Apartment,Apartment,,Good,,8301 Heist-aan-Zee,Installed,2,,,,No,1,,
https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/20246226,,,247000,Apartment,Apartment,,Good,,1083 GANSHOREN,Installed,2,,,,,2,,5
https://www.immoweb.be/en/classified/apartment/for-sale/halle/1500/11383541,,,249000,Apartment,Apartment,,Good,,1500 HALLE,Installed,2,Yes,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/zeebrugge/8380/20211180,,,249000,Apartment,Apartment,,Good,,8380 Zeebrugge,,,,,,,2,,
