Locality,Type of Property,Price,Number of Rooms,Living Area,Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the Land,Surface Area of the Plot,Number of Facades,Swimming Pool,State of the Building
9230 WETTEREN,House,,,,0,0,0,0,,0,,,,,0,
9500 Geraardsbergen Moerbeke,Brouwketelstraat - Moerbeke,,,,0,0,0,0,,0,,,,,0,
9290 Overmere,New real estate project - Houses,,,,0,0,0,0,,0,,,,,0,
2200 NOORDERWIJK,Diesterpark - BEN-woningen,,,,0,0,0,0,,0,,,,,0,
9000 Gent,Rhodon,,,,0,0,0,0,,0,,,,,0,
6780 LONGEAU,House,,,,0,0,0,0,,0,,,,,0,
8530 HARELBEKE,Villa,,,,0,0,0,0,,0,,,,,0,
9620 Zottegem,House,,,,0,0,0,0,,0,,,,,0,
9032 Gent,House,,,,0,0,0,0,,0,,,,,0,
3191 BOORTMEERBEEK,House,,,,0,0,0,0,,0,,,,,0,
9870 Zulte Machelen,Olympia,,,,0,0,0,0,,0,,,,,0,
2100 DEURNE,House,,,,0,0,0,0,,0,,,,,0,
8554 SINT-DENIJS,Country house,,,,0,0,0,0,,0,,,,,0,
1780 WEMMEL,Apartment block,,,,0,0,0,0,,0,,,,,0,
9600 RONSE,House,,,,0,0,0,0,,0,,,,,0,
4020 Liège,House,,,,0,0,0,0,,0,,,,,0,
9600 Ronse,House,,,,0,0,0,0,,0,,,,,0,
4400 Flémalle,House,,,,0,0,0,0,,0,,,,,0,
1410 Waterloo,House,,,,0,0,0,0,,0,,,,,0,
9030 Gent Mariakerke,House,,,,0,0,0,0,,0,,,,,0,
8500 Kortrijk,House,,,,0,0,0,0,,0,,,,,0,
9860 Oosterzele,House,,,,0,0,0,0,,0,,,,,0,
4140 Sprimont,House,,,,0,0,0,0,,0,,,,,0,
2660 HOBOKEN,House,,,,0,0,0,0,,0,,,,,0,
9700 Oudenaarde,House,,,,0,0,0,0,,0,,,,,0,
9500 GERAARDSBERGEN,Mixed-use building,,,,0,0,0,0,,0,,,,,0,
9500 GERAARDSBERGEN,House,,,,0,0,0,0,,0,,,,,0,
1180 Uccle,House,,,,0,0,0,0,,0,,,,,0,
1030 Schaerbeek,Apartment block,,,,0,0,0,0,,0,,,,,0,
1030 Schaerbeek,House,,,,0,0,0,0,,0,,,,,0,
7812 HOUTAING,Mansion,,,,0,0,0,0,,0,,,,,0,
9600 RONSE,Mansion,,,,0,0,0,0,,0,,,,,0,
9800 Deinze,BegijnHof,,,,0,0,0,0,,0,,,,,0,
9810 Nazareth,Eikenleen te Eke,,,,0,0,0,0,,0,,,,,0,
9700 Oudenaarde,House,,,,0,0,0,0,,0,,,,,0,
8880 Ledegem,House,,,,0,0,0,0,,0,,,,,0,
8530 HARELBEKE,House,,,,0,0,0,0,,0,,,,,0,
9860 Oosterzele,House,,,,0,0,0,0,,0,,,,,0,
1300 WAVRE,Apartment block,,,,0,0,0,0,,0,,,,,0,
4420 Saint-Nicolas,House,,,,0,0,0,0,,0,,,,,0,
4400 IVOZ-RAMET,House,,,,0,0,0,0,,0,,,,,0,
9840 De Pinte,House,,,,0,0,0,0,,0,,,,,0,
1755 OETINGEN,Mixed-use building,,,,0,0,0,0,,0,,,,,0,
4624 Fléron Romsée,House,,,,0,0,0,0,,0,,,,,0,
8420 De Haan,New real estate project - Houses,,,,0,0,0,0,,0,,,,,0,
9800 Deinze Astene,Lalys,,,,0,0,0,0,,0,,,,,0,
8420 De Haan,New real estate project - Houses,,,,0,0,0,0,,0,,,,,0,
8420 De Haan,New real estate project - Houses,,,,0,0,0,0,,0,,,,,0,
8420 De Haan,New real estate project - Houses,,,,0,0,0,0,,0,,,,,0,
9840 De Pinte,Heirweg 8 - De Pinte,,,,0,0,0,0,,0,,,,,0,
1840 Londerzeel,Villa,,,,0,0,0,0,,0,,,,,0,
9000 Gent,House,,,,0,0,0,0,,0,,,,,0,
7090 STEENKERQUE,Country house,,,,0,0,0,0,,0,,,,,0,
1150 Woluwe-Saint-Pierre,House,,,,0,0,0,0,,0,,,,,0,
1880 Kapelle-op-den-Bos,Villa,,,,0,0,0,0,,0,,,,,0,
1400 NIVELLES,House,,,,0,0,0,0,,0,,,,,0,
9890 Gavere,House,,,,0,0,0,0,,0,,,,,0,
9230 WETTEREN,House,,,,0,0,0,0,,0,,,,,0,
4602 Visé,Apartment block,,,,0,0,0,0,,0,,,,,0,
9600 RONSE,House,,,,0,0,0,0,,0,,,,,0,
4020 Liège,Apartment block,,,,0,0,0,0,,0,,,,,0,
1370 JODOIGNE,House,,,,0,0,0,0,,0,,,,,0,
9940 SLEIDINGE,House,,,,0,0,0,0,,0,,,,,0,
8300 Knokke-Zoute,House,,,,0,0,0,0,,0,,,,,0,
8570 Anzegem,House,,,,0,0,0,0,,0,,,,,0,
4101 Seraing,House,,,,0,0,0,0,,0,,,,,0,
9600 Ronse,Mansion,,,,0,0,0,0,,0,,,,,0,
